starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Kaos Latin Gamers;Bind;Optix;alca;akz;vaiZ;vickt0r;adi;13:6;False;33:27;Thursday, April 22nd, 12:00 AM CEST;Champions Tour LATAM Stage 2: Challengers 2;url.net;
Defense;W;Kaos Latin Gamers;Ascent;Optix;alca;akz;vaiZ;vickt0r;adi;13:8;False;35:24;Thursday, April 22nd, 12:00 AM CEST;Champions Tour LATAM Stage 2: Challengers 2;url.net;
Attack;W;Furious Gaming;Icebox;Optix;akz;Tio;vaiZ;alca;vickt0r;13:5;False;33:52;Friday, April 23rd, 9:00 PM CEST;Champions Tour LATAM Stage 2: Challengers 2;https://www.twitch.tv/videos/998157651?t=0h44m42s;
Attack;W;Furious Gaming;Ascent;Furious Gaming;akz;vaiZ;alca;vickt0r;adi;13:9;False;46:36;Friday, April 23rd, 9:00 PM CEST;Champions Tour LATAM Stage 2: Challengers 2;https://www.twitch.tv/videos/998157651?t=0h44m42s;
Defense;L;Furious Gaming;Bind;Furious Gaming;akz;vaiZ;alca;vickt0r;adi;9:13;False;46:46;Friday, April 23rd, 9:00 PM CEST;Champions Tour LATAM Stage 2: Challengers 2;https://www.twitch.tv/videos/998157651?t=0h44m42s;
Attack;L;ATROPELADOS;Ascent;Optix;adi;alca;akz;vickt0r;vaiZ;6:13;False;41:43;Saturday, April 24th, 9:00 PM CEST;Champions Tour LATAM Stage 2: Challengers 2;https://www.twitch.tv/videos/999455731?t=0h43m24s;
Defense;L;ATROPELADOS;Bind;ATROPELADOS;adi;alca;akz;vickt0r;vaiZ;10:13;False;43:22;Saturday, April 24th, 9:00 PM CEST;Champions Tour LATAM Stage 2: Challengers 2;https://www.twitch.tv/videos/999455731?t=0h43m24s;
Defense;W;Leviatán;Ascent;Decider;vickt0r;alca;adi;akz;olzerr;14:12;True;56:41;Friday, May 14th, 1:15 AM CEST;Aorus League - LAS #3;https://www.twitch.tv/videos/1021607231?t=1h32m19s;
Attack;L;Meta Gaming;Bind;Decider;alca;olzerr;vickt0r;adi;akz;3:13;False;32:12;Saturday, May 15th, 12:00 AM CEST;Aorus League - LAS #3;https://www.twitch.tv/videos/1022769981?t=0h27m13s;
Defense;L;9z Team;Haven;9z Team;adi;alca;olzerr;akz;vickt0r;8:13;False;40:14;Sunday, May 16th, 12:00 AM CEST;Aorus League - LAS #3;https://www.twitch.tv/videos/1024025986?t=0h23m54s;
Attack;L;9z Team;Ascent;9z Team;adi;alca;olzerr;akz;vickt0r;10:13;False;49:34;Sunday, May 16th, 12:00 AM CEST;Aorus League - LAS #3;https://www.twitch.tv/videos/1024025986?t=0h23m54s;
Attack;L;Rebirth Esports;Bind;Rebirth Esports;Tio;alca;vickt0r;adi;fEL1PPE;7:13;False;36:28;Tuesday, June 22nd, 4:15 AM CEST;Liga Movistar - Fibra Pro Shot;https://www.twitch.tv/videos/1063482840?t=3h20m1s;
Defense;W;Rebirth Esports;Icebox;Rebirth Esports;Tio;alca;vickt0r;adi;fEL1PPE;13:11;False;50:07;Tuesday, June 22nd, 4:15 AM CEST;Liga Movistar - Fibra Pro Shot;https://www.twitch.tv/videos/1063482840?t=3h20m1s;
Defense;L;Rebirth Esports;Ascent;Rebirth Esports;Tio;alca;vickt0r;adi;fEL1PPE;12:13;True;50:51;Tuesday, June 22nd, 4:15 AM CEST;Liga Movistar - Fibra Pro Shot;https://www.twitch.tv/videos/1063482840?t=3h20m1s;
Defense;L;Velox;Icebox;Optix;gio;adi;vickt0r;alca;Tio;11:13;False;48:32;Thursday, June 24th, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 1;https://www.twitch.tv/videos/1066343898?t=0h22m59s;
Defense;L;Velox;Ascent;Optix;gio;adi;vickt0r;alca;Tio;9:13;False;41:23;Thursday, June 24th, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 1;https://www.twitch.tv/videos/1066343898?t=0h22m59s;
Attack;L;Australs;Icebox;Australs;Tio;adi;gio;alca;vickt0r;8:13;False;35:11;Wednesday, June 30th, 1:20 AM CEST;Liga Movistar - Fibra Pro Shot;https://www.twitch.tv/videos/1071727541?t=0h59m42s;
Attack;L;Australs;Breeze;Australs;Tio;adi;gio;alca;vickt0r;2:13;False;24:19;Wednesday, June 30th, 1:20 AM CEST;Liga Movistar - Fibra Pro Shot;https://www.twitch.tv/videos/1071727541?t=0h59m42s;
Attack;L;Leviatán;Ascent;Leviatán;alca;Tio;vickt0r;gio;adi;5:13;False;31:39;Thursday, July 15th, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;url.net;
Attack;W;Leviatán;Bind;Leviatán;alca;Tio;vickt0r;gio;adi;13:7;False;36:04;Thursday, July 15th, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;url.net;
Attack;W;Leviatán;Icebox;Leviatán;alca;Tio;vickt0r;gio;adi;13:3;False;31:31;Thursday, July 15th, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;url.net;
Defense;L;9z Team;Haven;Decider;alca;Tio;vickt0r;gio;9:13;False;41:09;Tuesday, July 20th, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;url.net;
Attack;W;Furious Gaming;Icebox;Furious Gaming;gio;alca;Tio;vickt0r;13:7;False;38:07;Wednesday, July 21st, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;url.net;
Attack;W;Furious Gaming;Haven;Furious Gaming;gio;alca;Tio;vickt0r;13:4;False;30:24;Wednesday, July 21st, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;url.net;
Defense;W;Cruzados Esports;Icebox;Optix;gio;alca;vickt0r;Tio;15:13;True;57:25;Friday, July 23rd, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;url.net;
Attack;W;Cruzados Esports;Haven;Optix;gio;alca;vickt0r;Tio;13:9;False;46:10;Friday, July 23rd, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;url.net;
Defense;W;Motion Team;Ascent;Motion Team;alca;gio;Tio;vickt0r;13:8;False;54:41;Saturday, July 24th, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;https://www.twitch.tv/videos/1096867756?t=0h58m29s;
Attack;W;Motion Team;Split;Motion Team;alca;gio;Tio;vickt0r;13:6;False;35:54;Saturday, July 24th, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;https://www.twitch.tv/videos/1096867756?t=0h58m29s;
Attack;L;9z Team;Ascent;Optix;Tio;vickt0r;alca;gio;10:13;False;40:55;Sunday, July 25th, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;https://www.twitch.tv/videos/1097869475?t=0h43m55s;
Attack;L;9z Team;Bind;Optix;Tio;vickt0r;alca;gio;7:13;False;35:37;Sunday, July 25th, 9:00 PM CEST;Champions Tour LATAM Stage 3: Challengers 2;https://www.twitch.tv/videos/1097869475?t=0h43m55s;
Attack;L;Newstar;Haven;Newstar;diewijAs;Tio;gio;adi;vickt0r;4:13;False;24:52;Wednesday, September 15th, 12:00 AM CEST;Liga Movistar - Fibra Pro Shot;url.net;
Attack;L;Newstar;Bind;Newstar;diewijAs;Tio;gio;adi;vickt0r;8:13;False;38:24;Wednesday, September 15th, 12:00 AM CEST;Liga Movistar - Fibra Pro Shot;url.net;
Defense;L;Newstar;Icebox;Newstar;diewijAs;Tio;gio;adi;vickt0r;11:13;False;42:34;Wednesday, September 15th, 12:00 AM CEST;Liga Movistar - Fibra Pro Shot;url.net;
Attack;L;Wanderers Esports;Ascent;Optix;diewijAs;gio;Tio;vickt0r;adi;10:13;False;36:26;Wednesday, September 22nd, 12:00 AM CEST;Liga Movistar - Fibra Pro Shot;https://www.twitch.tv/videos/1155424536?t=0h21m27s;
Attack;L;Wanderers Esports;Bind;Optix;diewijAs;gio;Tio;vickt0r;adi;10:13;False;39:01;Wednesday, September 22nd, 12:00 AM CEST;Liga Movistar - Fibra Pro Shot;https://www.twitch.tv/videos/1155424536?t=0h21m27s;
Defense;W;Wanderers Esports;Haven;Optix;diewijAs;gio;Tio;vickt0r;adi;13:11;False;41:21;Wednesday, September 22nd, 12:00 AM CEST;Liga Movistar - Fibra Pro Shot;https://www.twitch.tv/videos/1155424536?t=0h21m27s;
Defense;L;Wanderers Esports;Split;Optix;diewijAs;gio;Tio;vickt0r;adi;4:13;False;29:43;Wednesday, September 22nd, 12:00 AM CEST;Liga Movistar - Fibra Pro Shot;https://www.twitch.tv/videos/1155424536?t=0h21m27s;
