starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;ALFA Esport;Bind;Cyber Skull Esports;Darrick;sian;Kuzuur;XOD1AC;Mykoz;11:13;False;52:42;Friday, February 12th, 7:00 PM CET;Champions Tour Turkey Stage 1: Challengers 1;url.net;
Defense;W;ALFA Esport;Split;Cyber Skull Esports;Darrick;sian;Kuzuur;XOD1AC;Mykoz;13:4;False;28:00;Friday, February 12th, 7:00 PM CET;Champions Tour Turkey Stage 1: Challengers 1;url.net;
Attack;W;ALFA Esport;Icebox;Cyber Skull Esports;Darrick;sian;Kuzuur;XOD1AC;Mykoz;13:10;False;42:06;Friday, February 12th, 7:00 PM CET;Champions Tour Turkey Stage 1: Challengers 1;url.net;
Attack;W;Fenerbahçe Esports;Haven;Cyber Skull Esports;Kuzuur;XOD1AC;Darrick;Mykoz;sian;13:11;False;52:24;Saturday, February 13th, 3:00 PM CET;Champions Tour Turkey Stage 1: Challengers 1;https://www.twitch.tv/videos/912398030?t=1h0m57s;
Defense;L;Fenerbahçe Esports;Split;Cyber Skull Esports;Kuzuur;XOD1AC;Darrick;Mykoz;sian;8:13;False;41:00;Saturday, February 13th, 3:00 PM CET;Champions Tour Turkey Stage 1: Challengers 1;https://www.twitch.tv/videos/912398030?t=1h0m57s;
Attack;W;Fenerbahçe Esports;Icebox;Cyber Skull Esports;Kuzuur;XOD1AC;Darrick;Mykoz;sian;13:8;False;42:30;Saturday, February 13th, 3:00 PM CET;Champions Tour Turkey Stage 1: Challengers 1;https://www.twitch.tv/videos/912398030?t=1h0m57s;
Defense;L;No Org Found;Split;No Org Found;Kuzuur;sian;Darrick;XOD1AC;Mykoz;7:13;False;40:55;Saturday, February 27th, 3:00 PM CET;Champions Tour Turkey Stage 1: Challengers 2;https://www.twitch.tv/videos/930364872?t=01h02m36s;
Attack;W;No Org Found;Haven;No Org Found;Kuzuur;sian;Darrick;XOD1AC;Mykoz;13:10;False;49:11;Saturday, February 27th, 3:00 PM CET;Champions Tour Turkey Stage 1: Challengers 2;https://www.twitch.tv/videos/930364872?t=01h02m36s;
Defense;L;No Org Found;Bind;No Org Found;Kuzuur;sian;Darrick;XOD1AC;Mykoz;9:13;False;50:03;Saturday, February 27th, 3:00 PM CET;Champions Tour Turkey Stage 1: Challengers 2;https://www.twitch.tv/videos/930364872?t=01h02m36s;
Attack;W;Beşiktaş Esports;Icebox;Beşiktaş Esports;Kuzuur;sian;Darrick;Mykoz;XOD1AC;13:9;False;39:09;Saturday, March 6th, 4:00 PM CET;Champions Tour Turkey Stage 1: Challengers 3;https://www.twitch.tv/videos/939185775?t=0h59m59s;
Attack;W;Beşiktaş Esports;Ascent;Cyber Skull Esports;Kuzuur;sian;Darrick;Mykoz;XOD1AC;13:8;False;41:15;Saturday, March 6th, 4:00 PM CET;Champions Tour Turkey Stage 1: Challengers 3;https://www.twitch.tv/videos/939185775?t=0h59m59s;
