map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Raze; ;238;23;21;7; ;153;16%;2;4;Marten Gaming;
W;Reyna; ;192;13;10;5; ;87;37%;4;1;Marten Gaming;
L;Raze; ;294;19;15;9; ;192;15%;1;2;Marten Gaming;
L;Omen; ;235;22;14;0; ;146;17%;3;3;Marten Gaming;
W;Omen; ;191;13;12;9; ;109;9%;0;0;Marten Gaming;
L;Omen; ;190;14;14;5; ;135;20%;0;4;Marten Gaming;
L;Raze; ;208;17;17;5; ;131;31%;1;4;Marten Gaming;
L;Raze; ;202;11;15;1; ;125;33%;1;3;Marten Gaming;
